,MAD,Median,Mean,Variance,Std,Kurtosis,Skew,Crest Factor,Impulse Factor,Shape Factor,Anomaly
0,0.107019485,0.892308,0.912448281,0.016089579,0.126844704,-0.528429797,0.697243437,1.340218678,1.35310683,1.009616455,1
1,0.232770863,1.051152,1.166037838,0.072919,0.270035183,-0.526867426,0.695937125,1.516313839,1.556443488,1.026465265,1
2,0.009695409,1.127768,1.127821973,0.000146957,0.012122585,-0.008858345,0.025783025,1.042295791,1.042356,1.000057765,1
3,0.017198017,0.717848,0.715894438,0.000482104,0.021956872,0.217694171,-0.317993838,1.099689791,1.100206899,1.000470231,1
4,0.032433463,1.047248,1.055100863,0.001446221,0.038029217,-0.801310406,0.359725161,1.103306932,1.10402336,1.000649346,1
5,0.028878701,1.026264,1.037398241,0.001363794,0.036929582,0.161583418,1.049372819,1.116980904,1.11768842,1.000633418,1
6,0.082033241,0.60634,0.641919755,0.009485186,0.097391917,-0.032645893,0.794543649,1.488203923,1.505234872,1.011443962,1
7,0.493665227,0.997472,0.993322894,0.309804108,0.556600492,-1.395517037,-0.010335214,1.594755674,1.828054111,1.146291022,1
8,0.018120766,0.708088,0.706471939,0.000517383,0.02274606,-0.046776791,-0.274164464,1.106709005,1.107282479,1.000518179,1
9,0.012224115,0.935008,0.935010798,0.000246609,0.015703804,0.729836361,0.014644692,1.100050334,1.100205476,1.000141031,1
10,0.011292999,0.936472,0.93666193,0.000202378,0.014225978,0.124404603,0.134355219,1.063236491,1.063359114,1.00011533,1
11,0.018784571,0.991128,0.99045687,0.000629408,0.025088008,2.234757421,0.20011994,1.194419047,1.194802152,1.000320746,1
12,0.013005489,1.118496,1.118791142,0.000267415,0.016352818,0.088121137,-0.030727182,1.059380393,1.059493551,1.000106815,1
13,0.034797303,0.718336,0.710946574,0.001944054,0.04409143,0.695474244,-0.834952628,1.136568585,1.138752235,1.001921266,1
14,0.043536129,0.7442,0.750544878,0.002519423,0.050193858,-0.93455385,0.230480369,1.231318329,1.234068777,1.002233742,1
15,0.016856624,0.913536,0.912893532,0.000454457,0.021317991,0.092571745,-0.188735028,1.076318427,1.076611857,1.000272623,1
16,0.043939829,0.89304,0.888223961,0.003201304,0.056580064,-0.193756464,-0.610402842,1.128400756,1.130687805,1.002026805,1
17,0.012654809,0.840336,0.840256749,0.000250026,0.015812214,-0.088707018,-0.036356312,1.067855914,1.068044977,1.000177049,1
18,0.146226711,1.052128,1.056867196,0.034331222,0.185286863,-0.4370431,0.084476356,1.382608585,1.403695759,1.01525173,1
19,0.51994983,1.084336,1.114284105,0.432189446,0.65741117,0.574234238,0.136848396,3.589008041,4.086969918,1.138746381,1
20,0.543470966,1.091656,1.114373018,0.470172368,0.685691161,0.431553786,0.11337442,3.283956184,3.762988293,1.145870433,1
21,0.554711616,1.131916,1.115731838,0.509998297,0.714141651,1.316175371,-0.059130801,4.098256347,4.686880437,1.143627933,1
22,0.538410101,1.097024,1.113275701,0.459837296,0.678113041,0.691421219,0.130497034,4.282733299,4.897954151,1.143651451,1
23,0.569381798,1.108736,1.115317949,0.512199292,0.715680999,0.374015669,0.101987095,3.379785369,3.898192034,1.153384493,1
24,0.665162764,1.128256,1.115896034,0.796548772,0.892495811,3.474743632,0.052413107,5.362546802,6.341140774,1.182486794,1
25,0.558050365,1.13948,1.113929198,0.540782146,0.735378913,5.830589513,-0.328815046,5.639824113,6.483329208,1.149562305,1
26,0.889124215,1.136064,1.115957001,1.555731414,1.247289627,5.289086032,0.141387512,7.625372893,9.446132471,1.238776464,1
27,0.872681669,1.104832,1.117227883,1.580394503,1.257137424,5.758637851,-0.005414114,7.823531396,9.725559334,1.243116291,1
28,0.905806207,1.114104,1.116825478,1.624451597,1.274539759,3.526218854,0.073850205,5.724833112,7.106778513,1.24139488,1
29,0.895297932,1.138504,1.116947966,1.475661102,1.214767921,3.009043921,0.108214373,6.06605764,7.449300056,1.228029883,1
30,0.908180926,1.111176,1.116869268,1.497318429,1.223649635,2.638371927,0.190940181,5.818997856,7.192523009,1.236041529,1
31,0.806617851,1.155096,1.116685975,1.187109328,1.089545468,3.902174216,-0.090480355,6.042137032,7.261455346,1.201802493,1
32,0.915769258,1.128744,1.117657779,1.526131713,1.235367036,2.29526427,-0.045990136,5.170821032,6.321624878,1.222557276,1
