,MAD,Median,Mean,Variance,Std,Kurtosis,Skew,Crest Factor,Impulse Factor,Shape Factor,Anomaly
0,4.693111452,1.0004,0.353285615,46.94765941,6.851836207,0.272562783,-0.197340263,2.330628264,3.324152026,1.426290103,0
1,0.011153921,1.120448,1.120116778,0.000205756,0.014344215,0.920397975,-0.034632044,1.071221894,1.071309727,1.000081993,0
2,0.188268139,1.120936,1.108021796,0.069255667,0.263164715,12.24149665,-1.767511587,1.740156013,1.775867737,1.020522139,0
3,0.239150027,1.115568,1.119471902,0.087779803,0.296276564,-0.350447577,0.102193069,1.716407114,1.775501463,1.034429098,0
4,0.234109078,1.114836,1.119891647,0.084958517,0.291476443,-0.261810757,0.158100495,1.734902365,1.792702003,1.033315787,0
5,0.226475458,1.11264,1.120396565,0.080454865,0.283645668,-0.149482901,0.201610532,1.7822707,1.838499032,1.031548705,0
6,0.225494196,1.110688,1.119854982,0.079687513,0.282289769,-0.152900273,0.205889408,1.773452285,1.828929667,1.03128214,0
7,0.226351828,1.117764,1.120368196,0.079163966,0.281360917,-0.209567077,0.141434992,1.817393725,1.873826844,1.031051675,0
8,0.220386745,1.111664,1.119311253,0.075469211,0.274716601,-0.164407612,0.212264683,1.785122162,1.838101775,1.029678424,0
9,0.20127071,1.110688,1.119894738,0.062803828,0.250606919,-0.218673643,0.165981004,1.657153002,1.698138169,1.024732277,0
10,0.212885093,1.111664,1.118916363,0.071171987,0.266780784,-0.136479156,0.093810123,1.762734873,1.812146168,1.028031042,0
11,0.209327872,1.115568,1.119625525,0.069557313,0.263737204,-0.07221615,0.087078385,1.718206878,1.765233068,1.027369341,0
12,0.206847785,1.1102,1.119447567,0.067040148,0.258921123,-0.228288695,0.119686974,1.685276353,1.729767482,1.026399901,0
13,0.215678341,1.108736,1.119668859,0.072832529,0.269875025,-0.248813083,0.103148245,1.672379417,1.720272904,1.028637932,0
14,0.200357444,1.11508,1.119813958,0.062809348,0.250617932,-0.218644831,0.113010637,1.656412836,1.697389095,1.02473795,0
15,0.192203359,1.110688,1.120470415,0.056690627,0.238097937,-0.267023765,0.100657138,1.641025218,1.677666785,1.022328461,0
16,0.196417388,1.11264,1.120352807,0.059277077,0.243468842,-0.224565296,0.052531345,1.662133626,1.700928482,1.023340396,0
17,0.168596051,1.127768,1.045995662,0.110609066,0.332579412,12.62888103,-3.519942557,1.721523015,1.767737333,1.026845019,0
18,0.184633162,1.11508,1.120212491,0.053266403,0.230795154,-0.157474889,0.081010069,1.679800557,1.71508175,1.021003204,0
19,0.179722362,1.116056,1.120179014,0.050308872,0.224296393,-0.183289569,0.112743961,1.723186067,1.757390537,1.019849551,0
20,0.18381512,1.109956,1.119655423,0.051965203,0.227958774,-0.261115337,0.095245756,1.625491196,1.658838927,1.020515479,0
21,0.190125917,1.114104,1.120772813,0.056084576,0.236821823,-0.174435933,0.108244164,1.72319981,1.761249004,1.022080546,0
22,0.185470161,1.114592,1.120817579,0.054514205,0.233482773,-0.030380357,0.150551966,1.712657191,1.749422955,1.021467088,0
23,0.18484153,1.113128,1.120217566,0.053656391,0.231638492,-0.066601793,0.18680989,1.70001995,1.735984204,1.021155195,0
24,0.18762447,1.113128,1.119901733,0.055179981,0.234904195,-0.133406234,0.15666203,1.690534174,1.727322981,1.021761647,0
25,0.191339384,1.113128,1.119092726,0.056959944,0.238662825,-0.190366695,0.15653088,1.629568246,1.666214029,1.022488032,0
26,0.192737797,1.119472,1.120551228,0.057249022,0.239267678,-0.157497786,0.041529055,1.64056299,1.677545794,1.022542752,0
27,0.196295362,1.118008,1.119180306,0.059604062,0.244139432,-0.056256247,0.027841554,1.679351545,1.718843684,1.023516302,0
28,0.197435291,1.118984,1.119693519,0.061081417,0.247146549,0.012658278,0.05063996,1.709167024,1.750307531,1.024070501,0
29,0.194971816,1.116544,1.119196801,0.0597735,0.244486195,-0.02859189,0.121421051,1.721391688,1.761985023,1.023581695,0
30,0.195047789,1.11752,1.119820985,0.059971134,0.244890046,-0.01222703,0.134782175,1.685437181,1.725268615,1.023632702,0
31,0.201203131,1.117032,1.119487323,0.063332103,0.251658704,-0.005734786,0.100004982,1.716086123,1.75891228,1.024955715,0
32,0.205387584,1.121912,1.120030044,0.065431912,0.255796622,-0.057222542,0.063746567,1.74238889,1.787252057,1.025748079,0
33,0.203943226,1.120692,1.119825182,0.063847536,0.252680699,-0.155326121,0.07649823,1.718233398,1.761432081,1.025141335,0
34,0.207352349,1.123864,1.121389059,0.065593798,0.256112862,-0.206325507,0.06577871,1.70378977,1.747661067,1.025749243,0
35,0.2806234,1.11264,1.055673222,0.168643815,0.410662654,11.90236134,-1.631716769,7.04555638,7.31886066,1.038791015,0
36,0.475032279,0.996008,0.81705391,0.342211897,0.584988801,12.96435803,-0.798299403,10.78824558,12.46132772,1.155083802,0
37,0.215548085,1.125816,1.121319373,0.070019553,0.26461208,-0.280955688,0.014035555,1.708671685,1.755603308,1.027466729,0
38,0.2192566,1.128744,1.121837987,0.071454717,0.267310152,-0.386621521,-0.007977916,1.677804074,1.724776682,1.02799648,0
39,0.21764689,1.128744,1.121539884,0.070599142,0.26570499,-0.453844106,0.0078715,1.686387531,1.733067212,1.027680281,0
40,0.215724573,1.129476,1.121335867,0.070273274,0.265091068,-0.405503674,0.016754095,1.68561446,1.732076942,1.027564122,0
41,0.218454104,1.123864,1.121454907,0.072159281,0.268624796,-0.359044651,0.055179381,1.715141408,1.763658965,1.028287788,0
42,0.219495814,1.1224,1.121242822,0.073348838,0.270829906,-0.31947588,0.066231551,1.693104907,1.741795766,1.028758324,0
43,0.218138319,1.11752,1.121136243,0.070787236,0.266058707,-0.459530047,0.078536018,1.657620665,1.70365735,1.02777275,0
44,0.217700256,1.119716,1.120704102,0.070039679,0.264650107,-0.512834358,0.070448684,1.682425039,1.728698945,1.02750429,0
45,0.214476291,1.125816,1.121168776,0.06746163,0.259733768,-0.588979052,0.02399061,1.624460287,1.667481328,1.026483283,0
46,0.218154025,1.13216,1.120987663,0.07081677,0.266114205,-0.48928387,-0.032100844,1.709060862,1.756558136,1.027791447,0
47,0.221924678,1.132648,1.12106776,0.073498559,0.271106177,-0.455704294,-0.026977852,1.718645622,1.768185716,1.028825078,0
48,0.222878311,1.131672,1.120520972,0.073448269,0.271013411,-0.482934804,-0.06907936,1.716930605,1.766435479,1.028833357,0
49,0.217718117,1.128256,1.121284139,0.070201122,0.264954944,-0.494020397,-0.042392734,1.664556354,1.710396083,1.027538707,0
50,0.215643873,1.12484,1.121169394,0.068442071,0.261614356,-0.533737694,-0.016488032,1.658616131,1.703171715,1.026863108,0
51,0.21536138,1.125816,1.120736375,0.068521451,0.261766023,-0.515595154,-0.002714357,1.634581222,1.678574945,1.02691437,0
52,0.210935802,1.126304,1.120741158,0.065852523,0.256617465,-0.529852006,-0.019915794,1.584866388,1.625881219,1.025879046,0
53,0.209829996,1.125328,1.12108972,0.066256886,0.257404129,-0.406820033,-0.028415933,1.680461187,1.724186714,1.026019956,0
54,0.212333978,1.130208,1.121579802,0.067995332,0.260759145,-0.410892679,-0.063000748,1.671457551,1.716036609,1.026670769,0
55,0.208461133,1.126304,1.121298031,0.065591331,0.256108045,-0.417098291,-0.019478827,1.633067461,1.675122892,1.025752415,0
56,0.21109864,1.125816,1.122076326,0.066959607,0.258765545,-0.45283052,0.013514886,1.664203853,1.707883818,1.026246764,0
57,0.20761015,1.12728,1.121313257,0.064804525,0.254567328,-0.423133513,-0.020266439,1.615707243,1.656821579,1.025446649,0
58,0.216014585,1.126304,1.121918539,0.071117576,0.266678788,-0.315049372,-0.004963511,1.667746451,1.714213584,1.027862229,0
59,0.222490052,1.12484,1.122557331,0.075341146,0.274483417,-0.377208469,-0.00331067,1.692503102,1.742364462,1.029460129,0
60,0.220612051,1.123864,1.122346255,0.072650124,0.269536869,-0.496876882,-0.024294214,1.634477046,1.680950056,1.028432954,0
61,0.219513392,1.120448,1.120896342,0.071421727,0.267248436,-0.54130637,-0.000510987,1.592765581,1.637411,1.028030125,0
62,0.214686081,1.125328,1.121775815,0.069265272,0.263182963,-0.4519246,-0.027795169,1.64369895,1.688330212,1.027152941,0
63,0.211453966,1.123376,1.121994082,0.068712063,0.262129859,-0.327262646,-0.001267606,1.655173679,1.699745151,1.026928577,0
64,0.21486755,1.1224,1.122427491,0.071266651,0.266958144,-0.282858237,0.006784403,1.678357573,1.725175137,1.027894869,0
65,0.216588633,1.120448,1.121576289,0.072706188,0.269640849,-0.26464504,0.088048604,1.69769147,1.746064017,1.028493132,0
66,0.218567618,1.116544,1.121036333,0.073159912,0.270480891,-0.316039168,0.087547642,1.735836689,1.785647745,1.028695704,0
67,0.221322942,1.1224,1.121450189,0.073942465,0.271923639,-0.43524303,0.04666601,1.675092962,1.723632506,1.028977224,0
68,0.217714628,1.118984,1.120904052,0.070815727,0.266112245,-0.493997568,0.057505695,1.614298245,1.65916788,1.027795133,0
69,0.218156202,1.12728,1.121193046,0.07131566,0.267049921,-0.512030075,-0.000825151,1.62249215,1.667880484,1.027974455,0
70,0.244381781,1.12484,1.097667282,0.106431051,0.326237722,25.45366359,-0.030755029,7.889415796,8.200545061,1.039436287,0
71,0.42383142,1.045296,0.899144034,0.373959338,0.611522148,52.99028013,-1.348729195,13.58010053,14.9885362,1.103713199,0
